"No.","Time","Source","Destination","Protocol","Length","Source Port","Message Identifier","Destination Port","Info"
"1168","60.804503881","192.168.15.8","130.185.238.170","MQTT","338","55567","12","1883","Publish Message (id=12) [devices-5]"
"1169","60.817138259","192.168.15.8","130.185.238.170","MQTT","338","58693","14","1883","Publish Message (id=14) [devices-2]"
"1170","60.880757453","130.185.238.170","192.168.15.8","MQTT","336","1883","","55567","Publish Message [devices-5]"
"1172","60.890416296","130.185.238.170","192.168.15.8","MQTT","336","1883","","58693","Publish Message [devices-2]"
"1176","60.956634275","130.185.238.170","192.168.15.8","MQTT","70","1883","12","55567","Publish Ack (id=12)"
"1178","60.966250593","130.185.238.170","192.168.15.8","MQTT","70","1883","14","58693","Publish Ack (id=14)"
"1183","61.020245322","192.168.15.8","130.185.238.170","MQTT","338","55897","13","1883","Publish Message (id=13) [devices-1]"
"1184","61.099617627","130.185.238.170","192.168.15.8","MQTT","336","1883","","55897","Publish Message [devices-1]"
"1186","61.179649356","130.185.238.170","192.168.15.8","MQTT","70","1883","13","55897","Publish Ack (id=13)"
"1188","61.353987288","192.168.15.8","130.185.238.170","MQTT","338","59943","13","1883","Publish Message (id=13) [devices-4]"
"1189","61.432880243","130.185.238.170","192.168.15.8","MQTT","336","1883","","59943","Publish Message [devices-4]"
"1191","61.508693573","130.185.238.170","192.168.15.8","MQTT","70","1883","13","59943","Publish Ack (id=13)"
"1193","61.892402244","192.168.15.8","130.185.238.170","MQTT","338","45035","15","1883","Publish Message (id=15) [devices-3]"
"1194","61.968769128","130.185.238.170","192.168.15.8","MQTT","336","1883","","45035","Publish Message [devices-3]"
"1201","62.044306129","130.185.238.170","192.168.15.8","MQTT","70","1883","15","45035","Publish Ack (id=15)"
"1203","62.228301699","192.168.15.8","130.185.238.170","MQTT","338","55567","13","1883","Publish Message (id=13) [devices-5]"
"1204","62.304713464","130.185.238.170","192.168.15.8","MQTT","336","1883","","55567","Publish Message [devices-5]"
"1206","62.380524592","130.185.238.170","192.168.15.8","MQTT","70","1883","13","55567","Publish Ack (id=13)"
"1208","62.777473952","192.168.15.8","130.185.238.170","MQTT","338","58693","15","1883","Publish Message (id=15) [devices-2]"
"1210","62.850555235","130.185.238.170","192.168.15.8","MQTT","336","1883","","58693","Publish Message [devices-2]"
"1215","62.927700887","130.185.238.170","192.168.15.8","MQTT","70","1883","15","58693","Publish Ack (id=15)"
"1240","63.291067376","192.168.15.8","130.185.238.170","MQTT","338","55897","14","1883","Publish Message (id=14) [devices-1]"
"1241","63.371810572","130.185.238.170","192.168.15.8","MQTT","336","1883","","55897","Publish Message [devices-1]"
