"No.","Time","Source","Destination","Protocol","Length","Message Type","Destination Port","Source Port","Message","Message Identifier","Info"
"12628","617.389973343","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","39299","7b276d657373616765273a2027316a6e727a51776b69305a79456d306c36355057556432â\200\246","173","Publish Message (id=173) [devices-4075e2f4-7024-4263-ae05-f737afd0b351]"
"12629","617.399650138","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","39299","1883","7b276d657373616765273a2027316a6e727a51776b69305a79456d306c36355057556432â\200\246","","Publish Message [devices-4075e2f4-7024-4263-ae05-f737afd0b351]"
"12631","617.411668860","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","39299","1883","","173","Publish Ack (id=173)"
"12633","617.428678347","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","42327","7b276d657373616765273a20277058326c73456b3952717055326c42704966444b5a4252â\200\246","169","Publish Message (id=169) [devices-aec32284-38bc-4bbb-aaae-61a7795d08df]"
"12634","617.439601402","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","42327","1883","7b276d657373616765273a20277058326c73456b3952717055326c42704966444b5a4252â\200\246","","Publish Message [devices-aec32284-38bc-4bbb-aaae-61a7795d08df]"
"12636","617.451777232","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","42327","1883","","169","Publish Ack (id=169)"
"12644","618.491421513","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","46033","7b276d657373616765273a20276f4747454f5038324f4e53337464506855626f6e594633â\200\246","174","Publish Message (id=174) [devices-e55f01d0-3062-495e-9d03-c1e5cb5b2f90]"
"12645","618.503748810","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","46033","1883","7b276d657373616765273a20276f4747454f5038324f4e53337464506855626f6e594633â\200\246","","Publish Message [devices-e55f01d0-3062-495e-9d03-c1e5cb5b2f90]"
"12647","618.515481279","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","46033","1883","","174","Publish Ack (id=174)"
"12650","619.358174245","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","59005","7b276d657373616765273a20277333485a747459474d744f6438596852597144434c6156â\200\246","162","Publish Message (id=162) [devices-b95e6802-9267-46dc-8faa-c8ec86b42e26]"
"12651","619.368157299","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","59005","1883","7b276d657373616765273a20277333485a747459474d744f6438596852597144434c6156â\200\246","","Publish Message [devices-b95e6802-9267-46dc-8faa-c8ec86b42e26]"
"12653","619.379916519","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","59005","1883","","162","Publish Ack (id=162)"
"12661","620.674505829","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","36811","7b276d657373616765273a20276f70425a456463686b4a3352614758356b726b70343851â\200\246","176","Publish Message (id=176) [devices-dbb6e282-74d8-4a05-8749-6e8adf2ba496]"
"12663","620.684485156","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","36811","1883","7b276d657373616765273a20276f70425a456463686b4a3352614758356b726b70343851â\200\246","","Publish Message [devices-dbb6e282-74d8-4a05-8749-6e8adf2ba496]"
"12666","620.695790867","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","36811","1883","","176","Publish Ack (id=176)"
"12670","620.731120687","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","48961","7b276d657373616765273a2027506147715674486e4c50586a6f464832344f4b4b7a6e6fâ\200\246","176","Publish Message (id=176) [devices-85fe57d3-0304-4b2d-85ec-93132ef051d7]"
"12671","620.745125671","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","48961","1883","7b276d657373616765273a2027506147715674486e4c50586a6f464832344f4b4b7a6e6fâ\200\246","","Publish Message [devices-85fe57d3-0304-4b2d-85ec-93132ef051d7]"
"12673","620.756567861","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","48961","1883","","176","Publish Ack (id=176)"
"12675","620.903000256","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","48975","7b276d657373616765273a202741326c624a564b7a385972586d4d706e59537a6737726eâ\200\246","175","Publish Message (id=175) [devices-3616bd97-1b2f-4db3-911f-7585a934b8f3]"
"12676","620.916287130","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","48975","1883","7b276d657373616765273a202741326c624a564b7a385972586d4d706e59537a6737726eâ\200\246","","Publish Message [devices-3616bd97-1b2f-4db3-911f-7585a934b8f3]"
"12678","620.928138576","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","48975","1883","","175","Publish Ack (id=175)"
